RecNum, LahmanID, Year, Team, Lg
2884,aasedo01,1986,BAL,A
2885,baineha01,1986,CHI,A
2886,barfije01,1986,TOR,A
2887,boggswa01,1986,BOS,A
2888,brettge01,1986,KC,A
2889,cansejo01,1986,OAK,A
2890,clemero02,1986,BOS,A
2891,fernato01,1986,TOR,A
2892,gedmari01,1986,BOS,A
2893,henderi01,1986,NY,A
2894,hernawi01,1986,DET,A
2895,higuete01,1986,MIL,A
2896,houghch01,1986,TEX,A
2897,jacobbr01,1986,CLE,A
2898,joynewa01,1986,CAL,A
2899,mattido01,1986,NY,A
2900,mosebll01,1986,TOR,A
2901,murraed02,1986,BAL,A
2902,parrila02,1986,DET,A
2903,preslji01,1986,SEA,A
2904,puckeki01,1986,MIN,A
2905,riceji01,1986,BOS,A
2906,righeda01,1986,NY,A
2907,ripkeca01,1986,BAL,A
2908,schroke01,1986,CLE,A
2909,whitalo01,1986,DET,A
2910,whitefr01,1986,KC,A
2911,winfida01,1986,NY,A
2912,wittmi01,1986,CAL,A
2913,basske01,1986,HOU,N
2914,brookhu01,1986,MON,N
2915,brownch02,1986,SF,N
2916,cartega01,1986,NY,N
2917,davisch01,1986,SF,N
2918,davisgl01,1986,HOU,N
2919,davisjo02,1986,CHI,N
2920,fernasi01,1986,NY,N
2921,francjo01,1986,CIN,N
2922,goodedw01,1986,NY,N
2923,gwynnto01,1986,SD,N
2924,hernake01,1986,NY,N
2925,krukomi01,1986,SF,N
2926,murphda05,1986,ATL,N
2927,parkeda01,1986,CIN,N
2928,penato01,1986,PIT,N
2929,raineti01,1986,MON,N
2930,rawlesh01,1986,PHI,N
2931,reardje01,1986,MON,N
2932,rhoderi01,1986,PIT,N
2933,sandbry01,1986,CHI,N
2934,saxst01,1986,LA,N
2935,schmimi01,1986,PHI,N
2936,scottmi03,1986,HOU,N
2937,smithda02,1986,HOU,N
2938,smithoz01,1986,STL,N
2939,strawda01,1986,NY,N
2940,valenfe01,1986,LA,N
2941,baineha01,1987,CHI,A
2942,bellge01,1987,TOR,A
2943,boggswa01,1987,BOS,A
2944,evansdw01,1987,BOS,A
2945,fernato01,1987,TOR,A
2946,henderi01,1987,NY,A
2947,henketo01,1987,TOR,A
2948,howelja01,1987,OAK,A
2949,hurstbr01,1987,BOS,A
2950,kennete02,1987,BAL,A
2951,langsma01,1987,SEA,A
2952,mattido01,1987,NY,A
2953,mcgwima01,1987,OAK,A
2954,morrija02,1987,DET,A
2955,nokesma01,1987,DET,A
2956,parrila01,1987,TEX,A
2957,plesada01,1987,MIL,A
2958,puckeki01,1987,MIN,A
2959,randowi01,1987,NY,A
2960,reynoha01,1987,SEA,A
2961,righeda01,1987,NY,A
2962,ripkeca01,1987,BAL,A
2963,saberbr01,1987,KC,A
2964,seitzke01,1987,KC,A
2965,tablepa01,1987,CLE,A
2966,trammal01,1987,DET,A
2967,whitalo01,1987,DET,A
2968,winfida01,1987,NY,A
2969,wittmi01,1987,CAL,A
2970,bedrost01,1987,PHI,N
2971,brookhu01,1987,MON,N
2972,cartega01,1987,NY,N
2973,clarkja01,1987,STL,N
2974,daviser01,1987,CIN,N
2975,dawsoan01,1987,CHI,N
2976,diazbo01,1987,CIN,N
2977,fernasi01,1987,NY,N
2978,francjo01,1987,CIN,N
2979,guerrpe01,1987,LA,N
2980,gwynnto01,1987,SD,N
2981,hernake01,1987,NY,N
2982,hershor01,1987,LA,N
2983,leonaje01,1987,SF,N
2984,mcgeewi01,1987,STL,N
2985,murphda05,1987,ATL,N
2986,raineti01,1987,MON,N
2987,reuscri01,1987,PIT,N
2988,samueju01,1987,PHI,N
2989,sandbry01,1987,CHI,N
2990,schmimi01,1987,PHI,N
2991,scottmi03,1987,HOU,N
2992,smithle02,1987,CHI,N
2993,smithoz01,1987,STL,N
2994,strawda01,1987,NY,N
2995,sutclri01,1987,CHI,N
2996,virgioz02,1987,ATL,N
2997,wallati01,1987,MON,N